Reason(s),P/F
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
 Reserve shutdown,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
 Fuel shortage (now RSD),F
Reserve Shutdown ,P
 Fuel shortage (now RSD),F
 Fuel shortage (now RSD),F
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
 Reserve shutdown,P
 Reserve shutdown,P
Fuel Shortage ,F
Fuel Shortage ,F
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown RSD,P
Reserve Shutdown RSD,P
Reserve Shutdown ,P
Reserve Shutdown ,P
 Reserve Shutdown,P
 Reserve Shutdown,P
 Reserve Shutdown,P
 Reserve Shutdown,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
 Reserve shutdown,P
 Reserve shutdown,P
 Reserve shutdown,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
 Reserve Shutdown,P
 Reserve Shutdown,P
 Reserve Shutdown,P
 Reserve Shutdown,P
 Reserve Shutdown,P
 Reserve Shutdown,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown . No RRAS support.,P
Reserve Shutdown . No RRAS support.,P
Reserve Shutdown . No RRAS support.,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown Reserved Shut Down,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve shutdown ,P
Reserve shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
 Reserve Shutdown,P
 Reserve Shutdown,P
 Reserve Shutdown,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown LOW DEMAND,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown .,P
Reserve Shutdown .,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve shutdown ,P
Reserve shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
 Reserve shutdown.,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
 Reserve Shutdown,P
 Reserve Shutdown,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown Under overhauling w.e.f 09:00 hrs of 27.01.23,P
Reserve Shutdown ,P
 Tripped on High Bearing Vibration. RSD since 20:30hrs on12.02.2023,F
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserved Shut Down ,F
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
" CW BAND SCREEN CHOCKWD , ALL CW PPS TRIPPED",F
Reserve shut down  ,F
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
 Reserve Shutdown,P
Reserve Shutdown ,P
Reserve Shutdown ,P
 Reserve shutdown,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
 Reserve Shutdown.,P
Reserve Shutdown as per NLDC,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
 Reserve Shutdown,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC mail for plant shutdown.,P
Reserve Shutdown As per NRLDC mail for plant shutdown.,P
Reserve Shutdown As per NRLDC mail for plant shutdown.,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown AS PER NRLDC ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
GT trip ,F
Reserve Shutdown As Per NRLDC Communication ,P
Reserve Shutdown As Per NRLDC Communication ,P
Reserve Shutdown As Per NRLDC Communication ,P
Reserve Shutdown as per NRLDC communication.,P
Reserve Shutdown as per NRLDC communication.,P
Reserve Shutdown as per NRLDC communication.,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown As Per NRLDC,P
Reserve Shutdown As Per NRLDC,P
Reserve Shutdown As Per NRLDC,P
Reserve Shutdown As per Scheduling,P
Reserve Shutdown As per Scheduling,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown As per NLDC & No schedule ,P
Reserve Shutdown As per NLDC & No schedule ,P
Reserve Shutdown As per NLDC,P
Reserve Shutdown As per NRLDC mail,P
Reserve Shutdown As per NRLDC communication.,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per DAM schedule.,P
Reserve Shutdown As per DAM schedule.,P
Boiler Tube Leakage ,F
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
"Reserve Shutdown , As per NRLDC Mail communication. ",P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC communication.,P
Reserve Shutdown As per NRLDC communication.,P
Reserve Shutdown As per NRLDC communication.,P
Reserve Shutdown As per NRLDC communication.,P
Reserve Shutdown As per NRLDC communication.,P
Reserve Shutdown As per NRLDC communication.,P
Reserve Shutdown As per NRLDC communication.,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown Reserve shutdown,P
Turbine Problem . GT-3 taken under shutdown for inspection to check the healthiness of the compressor and turbine.,P
Reserve Shutdown ,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown AS PER NRLDC COMMUNICATION,P
Reserve Shutdown AS PER NRLDC COMMUNICATION,P
Reserve Shutdown AS PER NRLDC COMMUNICATION,P
Reserve Shutdown As per NRLDC Communication,P
Reserve Shutdown As per NRLDC Communication,P
Reserve Shutdown As per NRLDC Communication,P
Reserve Shutdown As per NRLDC mail,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown AS PER NRLDC COMMUNICATION,P
Reserve Shutdown AS PER NRLDC COMMUNICATION,P
Reserve Shutdown AS PER NRLDC COMMUNICATION,P
Reserve Shutdown AS PER NRLDC COMMUNICATION,P
Reserve Shutdown AS PER NRLDC COMMUNICATION,P
Reserve Shutdown AS PER NRLDC COMMUNICATION,P
Reserve Shutdown AS PER NRLDC COMMUNICATION,P
Reserve Shutdown As per NRLDC mail,P
Reserve Shutdown As per NRLDC mail,P
Reserve Shutdown As per NRLDC mail,P
Reserve Shutdown AS  PER NRLDC COMMUNICATION,P
Reserve Shutdown AS PER NRLDC COMMUNICATION,P
Reserve Shutdown AS PER NRLDC COMMUNICATION,P
Reserve Shutdown As per NRLDC communication.,P
Reserve Shutdown As per NRLDC communication.,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As Per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC mail,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC ,P
Reserve Shutdown as per NRLDC.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail,P
Reserve Shutdown As per NRLDC mail,P
Reserve Shutdown As per NRLDC mail,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail,P
Reserve Shutdown As per NRLDC mail,P
Reserve Shutdown As per NRLDC mail,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown As per NRLDC ,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLD,P
Reserve Shutdown As Per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Hand tripped due to smoke observed near by the Unit.,F
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Over hauling ,F
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown AS PER NRLDC COMMUNICATION,P
Reserve Shutdown AS PER NRLDC COMMUNICATION,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
 Minor overhauling ,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC communication,P
Reserve Shutdown As per NRLDC mail (annual maintenance since 05:00Hrs of 12.01.2024),P
Reserve Shutdown reservr shutdown ,P
Reserve Shutdown AS PER NRLDC MAIL,P
Reserve Shutdown AS PER NRLDC MAIL,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As Per NRLDC,P
Reserve Shutdown As per NRLDC Communication ,P
Reserve Shutdown As per NRLDC Communication ,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown Reserve Shutdown,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown AS PER NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC mail.,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As Per NRLDC mail,P
Reserve Shutdown As Per NRLDC mail,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown as per nrldc mail,P
Reserve Shutdown as per nrldc mail,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown ,P
Reserve Shutdown No T-GNA schedule,P
Reserve Shutdown No T_GNA schedule,P
Reserve Shutdown SG not available,P
Reserve Shutdown SG not available,P
Reserve Shutdown Due to no Gen schedule ,P
Reserve Shutdown Due to no Gen schedule ,P
Reserve Shutdown As per NRLDC Schedule,P
Reserve Shutdown As per NRLDC schedule,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC Schedule,P
Reserve Shutdown As per NRLDC Schedule,P
Reserve Shutdown (as per T-GNA schedule of TANGEDCO).,P
Reserve Shutdown (as per T-GNA schedule of TANGEDCO).,P
Reserve Shutdown (as per T-GNA schedule of TANGEDCO).,P
Reserve Shutdown (as per T-GNA schedule of TANGEDCO).,P
Reserve Shutdown (as per T-GNA schedule of TANGEDCO).,P
Reserve Shutdown (as per T-GNA schedule of TANGEDCO).,P
Reserve Shutdown (as per T-GNA schedule of TANGEDCO).,P
Reserve Shutdown (as per T-GNA schedule of TANGEDCO).,P
Reserve Shutdown As per T-GNA schedule of TANGEDCO,P
Reserve Shutdown As per T-GNA schedule of TANGEDCO,P
Reserve Shutdown as per T-GNA schedule of TANGEDCO,P
Reserve Shutdown as per T-GNA schedule of TANGEDCO,P
Reserve Shutdown as per T-GNA schedule of TANGEDCO.,P
Reserve Shutdown as per T-GNA schedule of TANGEDCO.,P
Reserve Shutdown as per T-GNA schedule of TANGEDCO.,P
Reserve Shutdown as per T-GNA schedule of TANGEDCO.,P
Reserve Shutdown as per T-GNA schedule of TANGEDCO.,P
Reserve Shutdown as per T-GNA schedule of TANGEDCO.,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC Schedule ,P
Reserve Shutdown As per NRLDC Schedule ,P
Reserve Shutdown As per NRLDC schedule,P
Reserve Shutdown As per NRLDC schedule,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown Due to no TGNA schedule,P
Reserve Shutdown Due to no TGNA schedule,P
Reserve Shutdown As per NRLDC,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown ,P
Reserve Shutdown As per NRLDC,P
Synchronization failure issue in Synchronization(under forced outage since 18:30 Hrs of 28.04.2024),F
Reserve Shutdown As  per NRLDC Schedule,P
Reserve Shutdown As per NRLDC schedule ,P
Reserve Shutdown ,P
